Product Category,Client,Year,Month,Gross Profit,GSV
Laundry Refreshment,Aldi,2021,April,18403.1961,31782.69622
Laundry Refreshment,Aldi,2022,April,33093.50327,88663.36401
Laundry Refreshment,Aldi,2023,April,31483.03185,65980.52838
Laundry Refreshment,Aldi,2020,May,40705.08251,72918.60341
Laundry Refreshment,Aldi,2021,May,8619.323164,22015.55111
Laundry Refreshment,Aldi,2022,May,28873.75208,82276.65823
Laundry Refreshment,Aldi,2023,May,47181.49569,201603.0702
Laundry Refreshment,Aldi,2020,June,28702.70866,45292.90186
Laundry Refreshment,Aldi,2021,June,7149.509792,22368.38157
Laundry Refreshment,Aldi,2022,June,63347.97888,124587.3864
Laundry Refreshment,Aldi,2020,July,-1177.9283,33477.55043
Laundry Refreshment,Aldi,2021,July,24763.32548,61690.12907
Laundry Refreshment,Aldi,2022,July,27703.5573,110078.5418
Laundry Refreshment,Aldi,2020,August,14646.34262,44803.75147
Laundry Refreshment,Aldi,2021,August,33449.71041,75142.36944
Laundry Refreshment,Aldi,2022,August,15092.95867,82016.81435
Laundry Refreshment,Aldi,2020,September,21085.82713,37601.2446
Laundry Refreshment,Aldi,2021,September,16318.11208,33760.57381
Laundry Refreshment,Aldi,2022,September,33693.88566,107322.3299
Laundry Refreshment,Aldi,2020,October,15244.36426,34359.16725
Laundry Refreshment,Aldi,2021,October,15538.86856,31139.19634
Laundry Refreshment,Aldi,2022,October,39173.94774,101451.0396
Laundry Refreshment,Aldi,2020,November,22355.88993,47302.5979
Laundry Refreshment,Aldi,2021,November,-203.4393082,3929.038765
Laundry Refreshment,Aldi,2022,November,-19153.72175,70487.37704
Laundry Refreshment,Aldi,2020,December,-2267.505833,3714.457731
Laundry Refreshment,Aldi,2021,December,-3089.271726,20184.8963
Laundry Refreshment,Aldi,2022,December,31410.83501,85225.82567
Laundry Wash,Kaufland,2020,January,216503.7285,825324.542
Laundry Wash,Kaufland,2021,January,226852.0513,765650.7282
Laundry Wash,Kaufland,2022,January,151260.8395,552016.3864
Laundry Wash,Kaufland,2023,January,344275.3868,950060.6379
Laundry Wash,Kaufland,2020,February,309168.6111,871378.8126
Laundry Wash,Kaufland,2021,February,203275.5463,649630.4204
Laundry Wash,Kaufland,2022,February,144002.3996,420819.4304
Laundry Wash,Kaufland,2023,February,344445.4605,970385.0101
Laundry Wash,Kaufland,2020,March,527315.2566,1346555.108
Laundry Wash,Kaufland,2021,March,206838.8183,610476.0561
Laundry Wash,Kaufland,2022,March,199219.2508,709854.97
Laundry Wash,Kaufland,2023,March,407414.5446,993506.9928
Laundry Wash,Kaufland,2020,April,355551.6664,913206.3847
Laundry Wash,Kaufland,2021,April,99096.12553,481214.7927
Laundry Wash,Kaufland,2022,April,476009.3495,1095344.884
Laundry Wash,Kaufland,2023,April,391682.1019,954366.5461
Laundry Wash,Kaufland,2020,May,326578.1817,768660.4538
Laundry Wash,Kaufland,2021,May,166443.545,511544.0579
Laundry Wash,Kaufland,2022,May,313816.8832,805941.9674
Laundry Wash,Kaufland,2023,May,520463.291,1091671.164
Laundry Wash,Kaufland,2020,June,369502.5915,811361.9732
Laundry Wash,Kaufland,2021,June,266131.9768,577755.5643
Laundry Wash,Kaufland,2022,June,476744.4164,985095.1162
Laundry Wash,Kaufland,2020,July,385426.8819,769951.0813
Laundry Wash,Kaufland,2021,July,167064.0668,457921.3246
Laundry Wash,Kaufland,2022,July,315429.1953,804137.243
Laundry Wash,Kaufland,2020,August,374948.9886,796956.8654
Laundry Wash,Kaufland,2021,August,210813.4706,534511.5681
Laundry Wash,Kaufland,2022,August,404802.327,1061107.052
Laundry Wash,Kaufland,2020,September,291153.284,760904.5051
Laundry Wash,Kaufland,2021,September,207773.8085,496913.6226
Laundry Wash,Kaufland,2022,September,342541.1198,899096.6215
Laundry Wash,Kaufland,2020,October,254767.6837,609631.8228
Laundry Wash,Kaufland,2021,October,108039.5292,399489.7873
Laundry Wash,Kaufland,2022,October,782643.5666,1468506.194
Laundry Wash,Kaufland,2020,November,296191.8873,745699.7058
Laundry Wash,Kaufland,2021,November,125105.2888,372076.7552
Laundry Wash,Kaufland,2022,November,172911.6467,550636.0966
Laundry Wash,Kaufland,2020,December,259134.4467,716089.7761
Laundry Wash,Kaufland,2021,December,125919.8838,534846.6707
Laundry Wash,Kaufland,2022,December,186162.8006,645250.8968
Cleaning,Kaufland,2020,January,389853.7626,889126.6322
Cleaning,Kaufland,2021,January,136201.0718,336853.8465
Cleaning,Kaufland,2022,January,94250.79982,370680.591
Cleaning,Kaufland,2023,January,32503.80161,162403.7577
Cleaning,Kaufland,2020,February,265776.9879,701966.4473
Cleaning,Kaufland,2021,February,108670.7761,269616.8423
Cleaning,Kaufland,2022,February,41786.41924,177281.5562
Cleaning,Kaufland,2023,February,49389.27701,149944.4085
Cleaning,Kaufland,2020,March,425033.1749,982019.4155
Cleaning,Kaufland,2021,March,223816.2191,570170.7404
Cleaning,Kaufland,2022,March,75617.36886,331570.4977
Cleaning,Kaufland,2023,March,127777.6778,326050.597
Cleaning,Kaufland,2020,April,243882.5509,592967.1071
Cleaning,Kaufland,2021,April,435221.839,889336.194
Cleaning,Kaufland,2022,April,60194.89502,348590.9583
Cleaning,Kaufland,2023,April,227531.6836,798587.9004
Cleaning,Kaufland,2020,May,257339.1732,584676.9019
Cleaning,Kaufland,2021,May,82124.18834,240845.6577
Cleaning,Kaufland,2022,May,72297.72741,178320.5649
Cleaning,Kaufland,2023,May,91934.94552,251472.6038
Cleaning,Kaufland,2020,June,308429.5812,676524.1631
Cleaning,Kaufland,2021,June,83260.82914,210906.1143
Cleaning,Kaufland,2022,June,30157.57423,106245.3107
Cleaning,Kaufland,2020,July,299142.104,596033.1855
Cleaning,Kaufland,2021,July,40098.34147,130250.6529
Cleaning,Kaufland,2022,July,32816.49586,99372.73719
Cleaning,Kaufland,2020,August,475424.4398,798924.5841
Cleaning,Kaufland,2021,August,93735.66721,246662.6179
Cleaning,Kaufland,2022,August,24814.0387,104784.5265
Cleaning,Kaufland,2020,September,161937.9918,350510.0617
Cleaning,Kaufland,2021,September,76767.87716,238607.065
Cleaning,Kaufland,2022,September,25283.0934,128500.9079
Cleaning,Kaufland,2020,October,124640.3335,311792.5521
Cleaning,Kaufland,2021,October,69811.27936,237314.0937
Cleaning,Kaufland,2022,October,44866.50291,155459.6731
Cleaning,Kaufland,2020,November,123619.9482,277630.5018
Cleaning,Kaufland,2021,November,101269.0605,273892.7448
Cleaning,Kaufland,2022,November,54345.2182,170848.8048
Cleaning,Kaufland,2020,December,111230.7712,267622.7834
Cleaning,Kaufland,2021,December,67681.41827,295347.4558
Cleaning,Kaufland,2022,December,43186.84733,144172.0825
Laundry Refreshment,Kaufland,2020,January,176458.5302,532267.0702
Laundry Refreshment,Kaufland,2021,January,150900.9931,420561.4806
Laundry Refreshment,Kaufland,2022,January,86388.39234,250862.7128
Laundry Refreshment,Kaufland,2023,January,11955.84446,157404.8005
Laundry Refreshment,Kaufland,2020,February,147295.1827,462409.7066
Laundry Refreshment,Kaufland,2021,February,302825.017,672349.1752
Laundry Refreshment,Kaufland,2022,February,359626.7336,587432.0437
Laundry Refreshment,Kaufland,2023,February,60672.59191,300047.6441
Laundry Refreshment,Kaufland,2020,March,227468.3078,540977.676
Laundry Refreshment,Kaufland,2021,March,97372.70756,399860.3436
Laundry Refreshment,Kaufland,2022,March,111061.6518,312129.6052
Laundry Refreshment,Kaufland,2023,March,77372.06806,199623.4404
Laundry Refreshment,Kaufland,2020,April,227605.1347,519323.0667
Laundry Refreshment,Kaufland,2021,April,54296.74541,212400.529
Laundry Refreshment,Kaufland,2022,April,-18829.8225,202716.4624
Laundry Refreshment,Kaufland,2023,April,51972.43327,195365.9238
Laundry Refreshment,Kaufland,2020,May,247167.9451,457538.6107
Laundry Refreshment,Kaufland,2021,May,149112.2726,293876.8535
Laundry Refreshment,Kaufland,2022,May,51052.13271,197498.6451
Laundry Refreshment,Kaufland,2023,May,75567.96628,191479.8559
Laundry Refreshment,Kaufland,2020,June,201888.9951,376843.334
Laundry Refreshment,Kaufland,2021,June,141361.7166,322820.243
Laundry Refreshment,Kaufland,2022,June,160880.5318,509893.1811
Laundry Refreshment,Kaufland,2020,July,197497.0786,431114.4921
Laundry Refreshment,Kaufland,2021,July,33888.34483,163295.1071
Laundry Refreshment,Kaufland,2022,July,97331.68504,307907.3849
Laundry Refreshment,Kaufland,2020,August,235374.5021,478875.6396
Laundry Refreshment,Kaufland,2021,August,97745.6637,261191.692
Laundry Refreshment,Kaufland,2022,August,3551.703996,149261.7289
Laundry Refreshment,Kaufland,2020,September,163363.7735,434952.7925
Laundry Refreshment,Kaufland,2021,September,43953.12555,187994.9251
Laundry Refreshment,Kaufland,2022,September,65356.86846,291942.2031
Laundry Refreshment,Kaufland,2020,October,247885.2768,560565.3945
Laundry Refreshment,Kaufland,2021,October,65200.60195,220155.947
Laundry Refreshment,Kaufland,2022,October,54023.60612,234587.2221
Laundry Refreshment,Kaufland,2020,November,143271.4336,416040.5819
Laundry Refreshment,Kaufland,2021,November,104137.0318,245705.4761
Laundry Refreshment,Kaufland,2022,November,81130.81345,262755.8585
Laundry Refreshment,Kaufland,2020,December,127493.8175,332225.0255
Laundry Refreshment,Kaufland,2021,December,52046.97805,211163.1213
Laundry Refreshment,Kaufland,2022,December,48168.36558,184971.4928
Laundry Wash,Globus,2020,January,29726.62324,75994.01208
Laundry Wash,Globus,2021,January,146607.1437,306131.0274
Laundry Wash,Globus,2022,January,20061.37023,58512.13223
Laundry Wash,Globus,2023,January,13771.85703,54108.76408
Laundry Wash,Globus,2020,February,-5952.173195,49816.08044
Laundry Wash,Globus,2021,February,79886.57297,181161.047
Laundry Wash,Globus,2022,February,8505.447992,41137.36051
Laundry Wash,Globus,2023,February,32658.04813,216096.1865
Laundry Wash,Globus,2020,March,7993.996413,56993.93583
Laundry Wash,Globus,2021,March,-19113.91356,15815.19401
Laundry Wash,Globus,2022,March,9248.772497,86889.75812
Laundry Wash,Globus,2023,March,7855.88894,71353.90733
Laundry Wash,Globus,2020,April,280701.9767,304872.2961
Laundry Wash,Globus,2021,April,207659.4167,371114.3932
Laundry Wash,Globus,2022,April,-13305.60819,38668.93002
Laundry Wash,Globus,2023,April,73362.85062,127772.4903
Laundry Wash,Globus,2020,May,28798.12269,74587.96628
Laundry Wash,Globus,2021,May,41592.84227,84976.00038
Laundry Wash,Globus,2022,May,24327.11806,80861.39343
Laundry Wash,Globus,2023,May,114430.255,319073.36
Laundry Wash,Globus,2020,June,19143.08782,53989.42202
Laundry Wash,Globus,2021,June,93935.11894,187549.2764
Laundry Wash,Globus,2022,June,18641.6585,38096.76115
Laundry Wash,Globus,2020,July,130444.351,230247.2505
Laundry Wash,Globus,2021,July,-44598.10038,-31923.00897
Laundry Wash,Globus,2022,July,1454.245416,45474.00685
Laundry Wash,Globus,2020,August,-9885.179828,27927.50544
Laundry Wash,Globus,2021,August,-33089.82901,-4300.44844
Laundry Wash,Globus,2022,August,-3666.796027,77446.05242
Laundry Wash,Globus,2020,September,120007.3683,192706.6088
Laundry Wash,Globus,2021,September,32335.08791,139096.6759
Laundry Wash,Globus,2022,September,30108.6133,129717.8824
Laundry Wash,Globus,2020,October,30180.82014,70528.39939
Laundry Wash,Globus,2021,October,-12094.19107,10603.59364
Laundry Wash,Globus,2022,October,-17407.94334,29926.90895
Laundry Wash,Globus,2020,November,24912.81387,62404.01188
Laundry Wash,Globus,2021,November,10403.64856,62130.30707
Laundry Wash,Globus,2022,November,28142.96077,114396.4429
Laundry Wash,Globus,2020,December,75835.5894,140317.0228
Laundry Wash,Globus,2021,December,15054.80453,50119.49811
Laundry Wash,Globus,2022,December,20358.74269,72294.42383
Cleaning,Globus,2020,January,68322.80733,385104.8032
Cleaning,Globus,2021,January,80366.96256,160241.4916
Cleaning,Globus,2022,January,154417.9844,404155.4231
Cleaning,Globus,2023,January,219129.134,582649.8322
Cleaning,Globus,2020,February,90821.07495,186639.6126
Cleaning,Globus,2021,February,128466.522,310914.1102
Cleaning,Globus,2022,February,211682.368,506937.7063
Cleaning,Globus,2023,February,189251.2074,542319.7257
Cleaning,Globus,2020,March,114865.947,495580.4977
Cleaning,Globus,2021,March,191575.84,488607.2967
Cleaning,Globus,2022,March,263861.6627,554216.6744
Cleaning,Globus,2023,March,514543.9941,889857.1109
Cleaning,Globus,2020,April,-85997.3542,-45778.77933
Cleaning,Globus,2021,April,33503.94709,176114.5551
Cleaning,Globus,2022,April,402711.798,683476.2397
Cleaning,Globus,2023,April,193045.7485,506645.7617
Cleaning,Globus,2020,May,-47970.87556,4957.393804
Cleaning,Globus,2021,May,149034.815,246161.3353
Cleaning,Globus,2022,May,77753.7925,189706.0408
Cleaning,Globus,2023,May,274664.3272,555269.1261
Cleaning,Globus,2020,June,43529.64931,98190.31711
Cleaning,Globus,2021,June,337380.3196,537847.9029
Cleaning,Globus,2022,June,327298.3305,636356.0129
Cleaning,Globus,2020,July,98483.16425,174526.0911
Cleaning,Globus,2021,July,153014.6543,415177.9827
Cleaning,Globus,2022,July,118131.4116,403853.7704
Cleaning,Globus,2020,August,31190.20076,99807.67639
Cleaning,Globus,2021,August,131205.1053,352760.9054
Cleaning,Globus,2022,August,263975.3819,465153.743
Cleaning,Globus,2020,September,135173.2174,215402.4279
Cleaning,Globus,2021,September,167606.4926,385032.9884
Cleaning,Globus,2022,September,242714.2056,524701.6314
Cleaning,Globus,2020,October,57843.47342,130175.4116
Cleaning,Globus,2021,October,74859.53816,190843.2326
Cleaning,Globus,2022,October,59763.03341,271412.7185
Cleaning,Globus,2020,November,12383.26591,79897.72413
Cleaning,Globus,2021,November,100717.8045,294841.8166
Cleaning,Globus,2022,November,223621.4744,471895.5751
Cleaning,Globus,2020,December,82023.76965,158320.4693
Cleaning,Globus,2021,December,76081.92592,139132.4577
Cleaning,Globus,2022,December,-126657.7962,-73238.90003
Laundry Refreshment,Globus,2020,January,42296.58778,77499.70971
Laundry Refreshment,Globus,2021,January,71763.32615,117789.3485
Laundry Refreshment,Globus,2022,January,35809.70594,56494.98872
Laundry Refreshment,Globus,2023,January,58167.36858,145620.826
Laundry Refreshment,Globus,2020,February,126125.6235,192937.1813
Laundry Refreshment,Globus,2021,February,44943.83452,103342.8016
Laundry Refreshment,Globus,2022,February,96716.48371,192969.6232
Laundry Refreshment,Globus,2023,February,21285.4034,89191.65787
Laundry Refreshment,Globus,2020,March,411075.9464,597089.411
Laundry Refreshment,Globus,2021,March,25888.70773,37384.58656
Laundry Refreshment,Globus,2022,March,88536.78798,165273.8313
Laundry Refreshment,Globus,2023,March,77358.95761,179032.8459
Laundry Refreshment,Globus,2020,April,94742.87123,169134.3813
Laundry Refreshment,Globus,2021,April,65206.01946,112027.8358
Laundry Refreshment,Globus,2022,April,24681.40367,90304.87108
Laundry Refreshment,Globus,2023,April,107669.8748,196376.6562
Laundry Refreshment,Globus,2020,May,5423.659033,22795.56955
Laundry Refreshment,Globus,2021,May,46632.91983,89214.9066
Laundry Refreshment,Globus,2022,May,163074.8637,277617.4892
